Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Almond butter, lower sodium",42200510,2804,Nuts and seeds,645,20.79,21.24,4.43,9.7,53.04,4.25,34.7,12.6,0,0,0,0,1,0,0,1,0.095,0.939,3.909,0.084,0,42,42,42,52.1,0,0,0,0,16.67,0,0,264,507,268,4.11,3.18,0.975,0.8,745,1,0,0,0,0,0,0,0,0,0.007,3.3,0.819,0.247,34.3,0.019,0,12.6,0.007,0,0,0,0,0,1.75
Almond chicken,27445250,3404,Stir-fry and soy-based sauce mixtures,195,15.66,4.46,1.42,1.2,13.16,1.919,6.369,3.781,57,4,19,2,160,41,0,50,0.051,0.21,4.344,0.18,0,15,15,16,39.3,0.19,0,11.8,0,3.15,0,13.7,36,166,37,0.82,1.14,0.137,12.6,243,330,0,0,0,0,0,0,0,0,0.02,1.462,0.384,0.27,6.045,0.043,0,3.519,0.245,0,0.011,0,0,0,65.46
"Almond milk, chocolate",11350010,1902,Plant-based milk,43,0.57,7.44,6.97,0.1,1.2,0.121,0.69,0.257,0,38,38,0,0,0,0,0,0,0.033,0.075,0,0,0,0,0,2.9,0.32,0.32,0,0.8,3.08,3.08,0,161,30,8,0.31,0.18,0.031,0.1,33,56,1,6,0,0.004,0,0,0,0,0.002,0.083,0.031,0.006,0.682,0.001,0,0.257,0.001,0,0,0,0,0,90.32
"Almond milk, NFS",11350040,1902,Plant-based milk,20,0.54,1.53,1.2,0,1.21,0.103,0.72,0.273,0,41,41,0,0,0,0,0,0,0.033,0.073,0,0,0,0,0,3.1,0.34,0.34,0,0.9,3.28,3.28,0,171,30,7,0.29,0.17,0.021,0,31,59,0,0,0,0.004,0,0,0,0,0.002,0.077,0.02,0.006,0.712,0.001,0,0.273,0.001,0,0,0,0,0,96.23
"Almond milk, sweetened",11350000,1902,Plant-based milk,30,0.53,4.31,3.99,0,1.18,0.1,0.7,0.265,0,39,39,0,0,0,0,0,0,0.032,0.071,0,0,0,0,0,3,0.33,0.33,0,0.9,3.19,3.19,0,166,29,7,0.28,0.16,0.02,0,30,58,0,0,0,0.004,0,0,0,0,0.002,0.075,0.019,0.006,0.692,0.001,0,0.265,0.001,0,0,0,0,0,93.5
"Almond milk, unsweetened",11350020,1902,Plant-based milk,15,0.55,0.34,0,0,1.22,0.104,0.729,0.276,0,41,41,0,0,0,0,0,0,0.033,0.074,0,0,0,0,0,3.1,0.34,0.34,0,0.9,3.32,3.32,0,173,30,7,0.29,0.17,0.021,0,31,60,0,0,0,0.004,0,0,0,0,0.002,0.078,0.02,0.006,0.721,0.001,0,0.276,0.001,0,0,0,0,0,97.4
Almond oil,82101300,8012,Salad dressings and vegetable oils,884,0,0,0,0,100,8.2,69.9,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,39.2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,1.7,0.6,69.4,0,0,17.4,0,0,0,0,0,0,0
Almond paste,42200600,2804,Nuts and seeds,458,9,47.81,36.25,4.8,27.74,2.629,18.012,5.821,0,0,0,0,0,0,0,1,0.082,0.414,1.422,0.036,0,73,73,73,28.5,0,0,0.1,0,13.54,0,0,172,258,130,1.6,1.48,0.454,4.2,314,9,0,0,0,0,0,0,0,0.003,0.158,1.836,0.542,0.162,17.68,0.027,0,5.576,0.199,0,0,0,0,0,14.08
"Almonds, NFS",42100100,2804,Nuts and seeds,598,20.96,21.01,4.86,10.9,52.54,4.092,33.076,12.955,0,0,0,0,1,0,0,1,0.077,1.197,3.637,0.136,0,55,55,55,52.1,0,0,0,0,23.9,0,0,268,471,279,3.73,3.31,1.099,2,713,3,0,0,0,0,0,0,0,0,0.019,3.348,0.704,0.259,32.754,0.007,0,12.945,0.01,0,0,0,0,0,2.41
Ambrosia,63301010,6018,Other fruits and fruit salads,75,0.81,16.45,12.81,2,0.98,0.748,0.056,0.047,0,0,6,7,45,55,0,66,0.072,0.028,0.349,0.104,0,23,23,23,7.8,0,0,43.8,0,0.12,0,0.2,24,15,15,0.12,0.12,0.079,0.5,201,1,0,0,0,0,0.005,0.056,0.045,0.358,0.142,0.098,0.044,0.004,0.052,0,0,0.033,0.014,0,0,0,0,0,81.32
Anisette toast,51187020,5504,Cookies and brownies,373,7.63,66.99,28.44,1.4,8.38,1.29,3.199,2.86,46,20,20,0,0,2,0,65,0.378,0.277,3.01,0.037,47,14,95,62,35.3,0.1,0,0.4,0.3,1.4,0,6.5,112,205,17,3.15,0.51,0.083,12.8,97,262,0,0,0,0,0,0,0,0,0.007,0.948,0.279,0.049,3.099,0.043,0,2.533,0.288,0,0,0,0,0,15.32
Apple cider,64101010,7004,Apple juice,46,0.1,11.3,9.62,0.2,0.13,0.022,0.006,0.039,0,0,0,0,0,0,0,16,0.021,0.017,0.073,0.018,0,0,0,0,1.8,0,0,0.9,0,0.01,0,0,8,7,5,0.12,0.02,0.012,0.1,101,4,0,0,0,0,0,0,0,0,0.001,0.018,0.002,0,0.005,0,0,0.033,0.007,0,0,0,0,0,88.24
"Apple juice, 100%",64104010,7004,Apple juice,48,0.09,11.34,10.13,0.2,0.25,0.022,0.006,0.039,0,0,0,0,0,0,0,16,0.005,0.017,0.026,0.015,0,2,2,2,1.8,0,0,38.6,0,0.01,0,0,7,6,5,0.06,0,0.005,0.1,97,5,0,0,0,0,0,0,0,0,0.001,0.018,0.002,0,0.005,0,0,0.033,0.007,0,0,0,0,0,88.16
"Apple, baked",63101310,6002,Apples,113,0.32,22.7,19.01,2.5,3.08,1.639,0.604,0.143,8,26,29,0,30,10,0,26,0.015,0.026,0.096,0.045,0,2,2,2,4.5,0,0,3.9,0,0.19,0,2.6,14,13,6,0.19,0.05,0.03,0.1,114,4,0,0,0,0.072,0.051,0.03,0.068,0.078,0.253,0.774,0.265,0.035,0.537,0.004,0,0.125,0.021,0.001,0.004,0.001,0.001,0,73.61
"Apple, dried",62101100,6016,Dried fruits,243,0.93,65.89,57.19,8.7,0.32,0.052,0.013,0.093,0,0,0,0,0,0,0,18,0,0.159,0.927,0.125,0,0,0,0,17.6,0,0,3.9,0,0.53,0,3,14,38,16,1.4,0.2,0.191,1.3,450,87,0,0,0,0,0,0,0,0.001,0.001,0.043,0.007,0.001,0.012,0,0,0.077,0.016,0,0,0,0,0,31.76
"Apple, raw",63101000,6002,Apples,61,0.17,14.8,12.08,2.1,0.15,0.028,0.007,0.051,0,0,3,0,27,11,0,29,0.01,0.07,0.091,0.03,0,0,0,0,3.4,0,0,4.6,0,0.18,0,2.2,5,9,5,0.03,0.02,0.03,0,104,0,0,0,0,0,0,0,0,0,0.001,0.024,0.003,0,0.007,0,0,0.043,0.009,0,0,0,0,0,84.62
"Applesauce, flavored",63101150,6002,Apples,75,0.25,17.97,15.56,1,0.17,0.007,0.002,0.013,0,0,0,0,0,0,0,17,0.024,0.029,0.079,0.025,0,3,3,3,2.1,0,0,40.8,0,0.15,0,0.5,4,8,4,0.04,0,0.037,0.3,101,1,0,0,0,0,0,0,0,0,0,0.007,0.001,0,0.002,0,0,0.011,0.003,0,0,0,0,0,81.4
"Applesauce, regular",63101110,6002,Apples,75,0.25,17.97,15.56,1,0.17,0.007,0.002,0.013,0,0,0,0,0,0,0,17,0.024,0.029,0.079,0.025,0,3,3,3,2.1,0,0,40.8,0,0.15,0,0.5,4,8,4,0.04,0,0.037,0.3,101,1,0,0,0,0,0,0,0,0,0,0.007,0.001,0,0.002,0,0,0.011,0.003,0,0,0,0,0,81.4
Apricot nectar,64201010,7204,Fruit drinks,56,0.17,13.63,12.79,0.1,0.45,0.033,0.186,0.087,0,0,16,3,189,5,20,6,0.06,0.015,0.15,0.037,0,1,1,1,1,0,0,29.7,0,0.41,0,1.2,11,5,5,0.1,0.03,0.019,0,67,8,0,0,0,0,0,0,0,0,0,0.029,0.004,0,0.186,0,0,0.087,0,0,0,0,0,0,85.63
"Apricot, canned",63103110,6018,Other fruits and fruit salads,57,0.65,13.85,12.39,1.5,0.17,0.01,0.063,0.029,0,0,90,0,1076,10,0,24,0.019,0.023,0.363,0.05,0,2,2,2,1.7,0,0,3.1,0,0.55,0,2,7,12,6,0.3,0.1,0.076,0.1,177,3,0,0,0,0,0,0,0,0,0,0.009,0.001,0,0.063,0,0,0.029,0,0,0,0,0,0,84.97
"Apricot, dried",62104100,6016,Dried fruits,241,3.39,62.64,53.44,7.3,0.51,0.017,0.074,0.074,0,0,180,0,2163,0,0,0,0.015,0.074,2.589,0.143,0,10,10,10,13.9,0,0,1,0,4.33,0,3.1,55,71,32,2.66,0.39,0.343,2.2,1162,10,0,0,0,0,0,0,0,0,0,0.017,0,0,0.074,0,0,0.074,0,0,0,0,0,0,30.89
"Apricot, raw",63103010,6018,Other fruits and fruit salads,48,1.4,11.12,9.24,2,0.39,0.027,0.17,0.077,0,0,96,19,1094,104,0,89,0.03,0.04,0.6,0.054,0,9,9,9,2.8,0,0,10,0,0.89,0,3.3,13,23,10,0.39,0.2,0.078,0.1,259,1,0,0,0,0,0,0,0,0,0,0.024,0.003,0,0.17,0,0,0.077,0,0,0,0,0,0,86.35
Armadillo,23340100,2008,"Lamb, goat, game",159,28.08,0,0,0,4.34,1.29,1.696,0.635,76,0,0,0,0,0,0,0,0.308,0.139,4.177,0.415,0,6,6,6,116.5,0.69,0,0,0,0.38,0,1.4,16,133,27,1.11,2.99,0.056,12.9,393,367,0,0,0,0,0,0,0,0,0.05,0.764,0.437,0.218,1.478,0,0,0.496,0.03,0,0.109,0,0,0,63.37
Artichoke,75100750,6420,Other vegetables and combinations,53,2.89,11.95,0.99,5.7,0.34,0.079,0.011,0.145,0,0,1,0,8,0,0,464,0.05,0.089,1.11,0.081,0,89,89,89,34.4,0,0,7.4,0,0.19,0,14.8,21,73,42,0.61,0.4,0.127,0.2,286,60,0,0,0,0,0,0,0,0.004,0.004,0.066,0.006,0,0.011,0,0,0.105,0.038,0,0,0,0,0,84.08
Artichoke dip,14620110,8412,"Dips, gravies, other sauces",331,3.86,5.78,2.08,0.9,32.67,8.459,7.264,15.171,37,70,71,0,3,1,0,67,0.032,0.1,0.207,0.048,0,18,18,18,24.1,0.15,0,2,0.1,1.27,0,56.6,103,97,13,0.21,0.55,0.035,4.4,130,607,0,0,0,0.044,0.096,0.066,0.168,0.231,0.757,4.79,1.734,0.151,7.247,0.092,0.007,13.19,1.844,0,0.028,0.003,0.005,0.002,55.49
"Artichokes, stuffed",75400500,3104,Vegetable dishes,160,5.33,22.28,2.13,3.9,5.94,1.386,2.967,0.907,3,8,14,0,75,0,0,297,0.194,0.138,1.848,0.074,12,51,72,63,20.6,0.1,0,5.3,0,0.92,0,28.2,85,95,32,1.43,0.67,0.12,6.7,218,404,0,0,0,0.017,0.014,0.009,0.022,0.026,0.082,0.875,0.301,0.052,2.916,0.012,0,0.822,0.085,0,0.002,0,0,0,64.76
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",27446355,3004,Poultry mixed dishes,116,10.24,8.11,3,1.8,5.26,0.8,2.791,1.17,24,1,127,23,1456,90,0,991,0.09,0.167,3.338,0.15,4,32,38,36,27.3,0.08,0,10.5,0,1.81,0,62.4,43,115,38,0.82,0.6,0.109,8,288,167,0,0,0,0,0,0,0,0.156,0.062,0.455,0.1,0.087,2.696,0.004,0,1.107,0.059,0,0.002,0,0,0,75.49
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",27446350,3004,Poultry mixed dishes,130,11.44,9.5,2.99,1.9,5.46,0.946,2.767,1.055,27,2,108,24,1217,94,0,830,0.108,0.168,3.796,0.156,6,29,39,36,28.9,0.09,0,10,0,1.78,0,51.8,39,126,35,0.96,0.6,0.096,9.7,280,176,0,0,0,0,0,0,0,0.255,0.096,0.452,0.103,0.094,2.682,0.003,0,1.064,0.048,0,0.003,0,0,0,72.72
"Asparagus, raw",75100800,6420,Other vegetables and combinations,20,2.2,3.88,1.88,2.1,0.12,0.04,0,0.05,0,0,38,9,449,0,0,710,0.143,0.141,0.978,0.091,0,52,52,52,16,0,0,5.6,0,1.13,0,41.6,24,52,14,2.14,0.54,0.189,2.3,202,2,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0.01,0,0,0,0,0,93.22
Atole,92613010,7220,Smoothies and grain drinks,86,1.69,16.28,13.87,0.2,1.54,0.819,0.33,0.104,5,13,14,0,3,0,0,0,0.046,0.075,0.22,0.039,2,1,3,2,7.6,0.22,0,0,0.5,0.03,0,0.1,59,51,9,0.17,0.25,0.012,1.2,74,18,0,0,0,0.029,0.023,0.015,0.036,0.042,0.13,0.384,0.135,0.02,0.332,0.002,0,0.106,0.007,0,0.002,0,0.001,0,80.05
Atole de avena,92611100,7220,Smoothies and grain drinks,83,1.74,15.46,13.98,0.2,1.58,0.835,0.346,0.102,5,13,14,0,3,0,0,4,0.032,0.066,0.07,0.027,0,1,1,1,8.3,0.22,0,0,0.5,0.03,0,0.2,56,53,9,0.1,0.28,0.014,1.6,74,18,0,0,0,0.029,0.023,0.015,0.037,0.043,0.132,0.395,0.136,0.021,0.349,0.002,0,0.102,0.008,0,0.002,0,0.001,0,80.78
Atole de chocolate,92613510,7220,Smoothies and grain drinks,103,1.8,20.3,17.24,0.6,1.78,1.013,0.504,0.121,6,12,13,0,3,0,0,0,0.04,0.094,0.247,0.032,2,3,6,4,7.5,0.12,0,0.4,0.6,0.04,0,0.1,59,56,10,0.3,0.26,0.044,1.4,89,30,0,11,0,0.048,0.028,0.017,0.037,0.042,0.149,0.436,0.222,0.034,0.448,0,0,0.097,0.024,0,0,0,0,0,75.63
"Avocado, raw",63105010,6420,Other vegetables and combinations,160,2,8.53,0.66,6.7,14.66,2.126,9.799,1.816,0,0,7,24,62,28,0,271,0.067,0.13,1.738,0.257,0,81,81,81,14.2,0,0,10,0,2.07,0,21,12,52,29,0.55,0.64,0.19,0.4,485,7,0,0,0,0,0,0.001,0,0,0,2.075,0.049,0.698,9.066,0.025,0,1.674,0.125,0,0,0,0,0,73.23
Baby Toddler pudding,67408010,9012,Baby food: snacks and sweets,86,1.76,17.58,12.2,0.2,0.98,0.325,0.364,0.128,38,13,13,1,1,1,0,39,0.012,0.054,0.076,0.03,0,6,6,6,29.9,0.23,0,0.4,0.5,0.09,0,0,54,55,5,0.22,0.3,0.01,2.4,68,26,0,0,0,0.003,0,0.001,0.002,0.001,0.009,0.222,0.078,0.03,0.331,0.003,0,0.108,0.004,0,0.013,0,0,0.003,79.31
Bacalaitos fritos,58117410,3006,Seafood mixed dishes,281,14.43,36.1,0.12,1.2,8.63,1.152,3.345,3.246,29,1,1,0,0,0,0,7,0.364,0.21,3.474,0.092,44,11,87,56,44.6,1.1,0,0,0.3,1.82,0,7.9,105,256,26,2.87,0.53,0.087,21.3,208,233,0,0,0,0,0,0,0,0.001,0.006,0.842,0.238,0.029,3.242,0.055,0.001,2.806,0.347,0,0.005,0.021,0.002,0.059,39.32
Bacon bits,41810250,2604,Bacon,476,32,28.6,0,10.2,25.9,4.055,6.225,13.548,0,0,0,0,0,0,0,0,0.6,0.07,1.6,0.08,0,127,127,127,134.8,1.2,1.2,1.9,0,6.9,0,0,101,217,95,0.72,1.87,0.539,7.4,145,1770,0,0,0,0,0,0,0,0.215,0.143,2.672,1.026,0,6.225,0,0,12.07,1.479,0,0,0,0,0,8
"Bacon strip, meatless",41810200,2806,Soy and meat-alternative products,309,11.69,5.31,0,2.6,29.52,4.622,7.095,15.441,0,0,4,0,53,0,0,0,4.4,0.481,7.56,0.479,0,42,42,42,45,0,0,0,0,6.9,0,0,23,70,19,2.41,0.42,0.105,7.4,170,1465,0,0,0,0,0,0,0,0.245,0.163,3.045,1.169,0,7.095,0,0,13.756,1.686,0,0,0,0,0,48.98
Bagel,51180010,4206,Bagels and English muffins,264,10.56,52.38,8.43,1.6,1.32,0.36,0.39,0.526,0,0,0,0,0,0,0,0,0.568,0.344,4.515,0.07,82,24,163,106,14.6,0,0,0,0,0.32,0,0.2,70,99,29,3.57,0.83,0.128,21.5,107,422,0,0,0,0,0,0,0,0,0.004,0.227,0.115,0.007,0.186,0.005,0,0.503,0.024,0,0,0,0,0,33.81
Bagel chips,54440010,5202,"Crackers, excludes saltines",451,12.34,66.36,6.02,4.1,15.14,6.835,6.05,2.085,0,0,0,0,0,0,0,14,0.523,0.337,7.66,0.117,112,30,220,142,17.8,0,0,0,0,0.81,0,5.2,24,131,39,5.05,1,0.167,36.2,140,233,0,0,0,0.003,0,0.006,0.007,0.062,0.161,5.883,0.613,0.031,5.975,0.034,0.002,2.015,0.059,0,0.004,0.003,0,0,5.05
"Bagel, oat bran",51501080,4206,Bagels and English muffins,250,10.2,48.89,6.12,4.1,1.53,0,0.29,0.936,0,0,0,0,2,0,0,88,0.403,0.209,3.37,0.147,46,31,108,76,9.8,0,0,0,0,0.32,0,1.5,105,142,51,2.76,1.1,0.175,28.7,165,439,0,0,0,0,0,0,0,0,0,0,0,0.008,0.277,0.005,0,0.859,0.076,0,0,0,0,0,37.55
"Bagel, pumpernickel",51404500,4206,Bagels and English muffins,250,10.2,48.89,6.12,4.1,1.53,0,0.29,0.936,0,0,0,0,2,0,0,88,0.403,0.209,3.37,0.147,46,31,108,76,9.8,0,0,0,0,0.32,0,1.5,105,142,51,2.76,1.1,0.175,28.7,165,439,0,0,0,0,0,0,0,0,0,0,0,0.008,0.277,0.005,0,0.859,0.076,0,0,0,0,0,37.55
"Bagel, wheat, with fruit and nuts",51301820,4206,Bagels and English muffins,263,9.52,50.78,11.74,4.4,2.77,0.128,0.45,1.815,0,0,0,0,2,0,0,80,0.364,0.198,3.074,0.157,40,29,97,69,10.5,0,0,0.2,0,0.31,0,1.7,98,140,51,2.62,1.05,0.199,25.5,213,389,0,0,0,0,0,0,0,0,0,0.092,0.034,0.007,0.422,0.007,0,1.522,0.25,0,0,0,0,0,35.13
Baked beans,41201010,2802,"Beans, peas, legumes",105,4.52,21.57,8.23,4.4,0.89,0.231,0.222,0.4,7,0,1,0,9,2,83,9,0.031,0.014,0.289,0.048,0,8,8,8,22.3,0,0,0,0,0.04,0,0.4,39,88,30,1.4,0.51,0.171,4.8,231,391,0,0,0,0,0,0,0.004,0.001,0.006,0.16,0.048,0.008,0.205,0.005,0.005,0.223,0.18,0,0,0,0,0,71.48
"Baked beans, reduced sodium",41221000,2802,"Beans, peas, legumes",104,4.77,20.35,7.73,5.5,0.4,0.102,0.035,0.171,0,0,5,0,64,0,497,16,0.142,0.057,0.406,0.123,0,23,23,23,30.6,0,0,2.9,0,0.15,0,0.8,50,103,32,0.29,1.39,0.205,4.5,294,270,0,0,0,0,0,0,0,0,0,0.096,0.006,0,0.035,0,0,0.092,0.077,0,0,0,0,0,72.1
"Baked beans, vegetarian",41201020,2802,"Beans, peas, legumes",94,4.75,21.14,7.96,4.1,0.37,0.071,0.095,0.121,0,0,5,0,65,0,511,16,0.091,0.037,0.407,0.08,0,11,11,11,31.5,0,0,0,0,0.15,0,0.8,34,74,27,1.19,2.28,0.145,5,224,343,0,0,0,0,0,0,0,0,0.001,0.047,0.023,0.001,0.029,0,0,0.055,0.015,0,0,0,0,0,72
Baklava,53441110,5502,Cakes and pies,440,6.58,37.55,12.8,2.5,29.34,10.926,8.791,5.135,48,153,157,0,45,2,0,71,0.237,0.222,1.909,0.117,20,16,50,36,16.5,0,0,1.3,0.1,1.86,0,3.4,40,116,38,1.98,0.7,0.248,10.9,170,311,0,0,0,0.421,0.297,0.173,0.396,0.454,1.486,5.438,1.971,0.253,8.318,0.043,0.001,4.5,0.602,0.003,0.022,0.005,0.008,0,25.09
"Bamboo shoots, cooked",75203028,6420,Other vegetables and combinations,41,1.68,3.13,1.84,1.4,2.94,0.757,0.915,0.905,2,11,12,0,13,0,0,0,0.024,0.025,0.136,0.148,0,3,3,3,0.2,0,0,1,0,0.99,0,2.1,8,25,4,0.31,0.63,0.111,0.5,78,15,0,0,0,0.018,0.013,0.007,0.017,0.023,0.067,0.432,0.144,0.014,0.881,0.012,0,0.798,0.108,0,0.001,0,0,0,91.9
